YT Handle,Influencer Name,Channel ID,Creator Country,Subscriber Count,Total Videos,Channel Created Year,Monthly Upload Frequency,Most Viewed Video URL,Content Type,Avg Views per Video,Avg Likes per Video,Avg Comments per Video,Like Rate (%),Comment Rate (%),Audience Sentiment,Toxicity Score,Virality Score,Growth Rate Over Time,Popularity Category Label,Popular on Twitter,Twitter Followers Count,Popular on Instagram,Instagram Followers Count
@mrbeast,MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,USA,402000000,875,2012,5,https://www.youtube.com/watch?v=N0pwLtonPdg,Entertainment,113717113.3,2586568.9,33567.3,0.002274564,2.95E-05,neutral,0.08,2.27,129814.06,Viral,Highly popular,45900000,Highly popular,115000000
@stokestwins,Stokes Twins,UCbp9MyKCTEww4CxEzc_Tp0Q,USA,126000000,369,2008,1,https://www.youtube.com/watch?v=RAdU_ubUxGk,People & Blogs,41832007.8,588640.7,1898.9,0.001407154,4.54E-06,neutral,0.06,1.41,113059.48,Viral,Less popular,1500000, popular,6100000
@alanchikinchow,Alan's Universe,UC5gxP-2QqIh_09djvlm9Xcg,USA,93000000,1400,2020,0,https://www.youtube.com/watch?v=U2yTes7GON0,Entertainment,11134395.2,212506.1,838.8,0.001908555,7.53E-06,neutral,0.09,1.91,11134395.2,Viral,Less popular,500000,Highly popular,20000000
@a4a4a4a4,A4,UC2tsySbe9TNrI-xh2lximHA,USA,81000000,1000,2014,0,https://www.youtube.com/watch?v=amtp6BJhQCc,Entertainment,43308246.6,924183.1,6387.8,0.002133966,1.47E-05,neutral,-0.02,2.13,43308246.6,Viral,Less popular,300000,Highly popular,10000000
@markrober,Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,USA,69000000,214,2011,1,https://www.youtube.com/watch?v=tt_l_-5_8WU,Science & Technology,21708819.9,640232.9,3160.3,0.002949183,1.46E-05,neutral,0,2.95,100971.26,Viral,Highly popular,1000000,Highly popular,3500000
@topperguild,Topper Guild,UCPuEAY09CtdTzFNWuqVZgDw,USA,66000000,1200,2014,0,https://www.youtube.com/watch?v=lu-12LAFflU,Entertainment,21238592.7,402463.4,639.3,0.001894963,3.01E-06,neutral,-0.02,1.89,21238592.7,Viral,Less popular,100000,Highly popular,5000000
@dudeperfect,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,USA,61000000,494,2009,2,https://www.youtube.com/watch?v=BOmTTKTQceM,Sports,32592381.7,722393.8,1786,0.00221645,5.48E-06,positive,0.28,2.22,65843.2,Viral,Highly popular,2000000,Highly popular,18000000
@zhong,Zhong,UCyagEfIN1okQ-s996XAqCFQ,USA,59000000,2000,2015,0,https://www.youtube.com/watch?v=qnvs6QWIBcM,Entertainment,5818754.3,162150.5,233.4,0.002786688,4.01E-06,neutral,0.14,2.79,5818754.3,Viral,Less popular,100000,Highly popular,6500000
@marshmello,Marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,USA,58000000,535,2015,4,https://www.youtube.com/watch?v=VrokBUaWXfU,Music,160921.8,6263.6,240.1,0.003892325,0.000149203,neutral,0.14,3.89,300.23,Trending,Highly popular,2700000,Highly popular,28600000
@billieeilish,Billie Eilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,USA,56000000,162,2013,1,https://www.youtube.com/watch?v=SHRLsnmyX68,Music,354203.2,50135.7,2678.4,0.014154502,0.000756176,positive,0.24,14.15,2173.03,Trending,Highly popular,7100000,Highly popular,125000000
@mrbeast2,MrBeast 2,UC4-79UOlP48-QNGgCko5p2g,USA,50000000,137,2020,1,https://www.youtube.com/watch?v=3uKsaGRK3yw,People & Blogs,10004279.7,341644,4809.1,0.003414978,4.81E-05,neutral,0.14,3.41,72494.78,Viral,Highly popular,45900000,Highly popular,115000000
@mrbeastgaming,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,USA,48000000,146,2020,2,https://www.youtube.com/watch?v=ilS38Z0vysA,Gaming,56262194.7,863927,15193,0.001535537,2.70E-05,neutral,0.1,1.54,382736.02,Viral,Less popular,100000,Less popular,500000
